U;I
0,060338;-1,235600E-5
0,140351;-1,098300E-5
0,260309;-1,372800E-5
0,330185;-8,237000E-6
0,440172;-9,610000E-6
0,520140;-1,098300E-5
0,660148;-8,237000E-6
0,759821;-1,098300E-5
0,819696;-9,610000E-6
0,959526;-9,610000E-6
1,019245;-9,610000E-6
1,118834;-2,746000E-6
1,237812;2,746000E-6
1,355910;1,922000E-5
1,414412;3,020200E-5
1,520645;6,177800E-5
1,605944;0,000100
1,698565;0,000162
1,857462;0,000331
1,899520;0,000393
1,996196;0,000578
2,064392;0,000755
2,114494;0,000916
2,195660;0,001229
2,246039;0,001465
2,293625;0,001724
2,386086;0,002350
2,440072;0,002802
2,472103;0,003104
2,498619;0,003373
2,568192;0,004180
2,583498;0,004381
2,620060;0,004890
2,664461;0,005583
2,705527;0,006297
2,714551;0,006462
2,749394;0,007152
2,773992;0,007677
2,795101;0,008148
2,822745;0,008816
2,860564;0,009799
2,874129;0,010171
2,895850;0,010804
2,926532;0,011760
2,938310;0,012152
2,957464;0,012799
2,972491;0,013328
2,993606;0,014125
3,003770;0,014526
3,034863;0,015793
3,048928;0,016415
3,057938;0,016823
3,072817;0,017512
3,084430;0,018062
3,100136;0,018822
3,117821;0,019728
3,134579;0,020642
3,144754;0,021204
3,156762;0,021915
3,167475;0,022552
3,178916;0,023252
3,184547;0,023614
3,199141;0,024549
3,210336;0,025293
3,215522;0,025660
3,225999;0,026383
3,242965;0,027620
3,253556;0,028432
3,257371;0,028727
3,265060;0,029327
3,279887;0,030502
3,287011;0,031096
3,293025;0,031611
3,307988;0,032944
3,316251;0,033684
3,322567;0,034197
3,327059;0,034652
3,335309;0,035480
3,346063;0,036478
3,354472;0,037389
3,360213;0,037995
3,362935;0,038300
3,372177;0,039277
3,378405;0,039954
3,383004;0,040482
3,390780;0,041388
3,399062;0,042290
3,407479;0,043288
3,413785;0,044145
3,414898;0,044297
3,421861;0,045217
3,428595;0,046126
3,435868;0,047105
3,440658;0,047714
3,447687;0,048636
3,453025;0,049407
3,457177;0,050035
3,463390;0,050801
3,471380;0,051708
