Ugs;Id;Uds
0,000000;-8,251000E-6;0,200000
0,000000;-8,251000E-6;0,400000
0,000000;-6,875000E-6;0,600000
0,000000;-2,750000E-6;0,800000
0,000000;-5,500000E-6;1,000000
0,000000;-2,750000E-6;1,200000
0,000000;-4,125000E-6;1,400000
0,000000;-1,100100E-5;1,600000
0,000000;-9,626000E-6;1,800000
0,000000;-6,875000E-6;2,000000
0,000000;-6,875000E-6;2,200000
0,000000;-4,125000E-6;2,400000
0,000000;-5,500000E-6;2,600000
0,000000;-8,251000E-6;2,800000
0,000000;-2,750000E-6;3,000000
0,000000;-8,251000E-6;3,200001
0,000000;-6,875000E-6;3,400001
0,000000;-5,500000E-6;3,600001
0,000000;-6,875000E-6;3,800001
0,000000;-6,875000E-6;4,000000
0,000000;-8,251000E-6;4,200000
0,000000;-4,125000E-6;4,400000
0,000000;-6,875000E-6;4,600000
0,000000;-5,500000E-6;4,800000
0,000000;-6,875000E-6;5,000000
0,000000;-2,750000E-6;5,199999
0,000000;-5,500000E-6;5,399999
0,000000;-6,875000E-6;5,599999
0,000000;-4,125000E-6;5,799999
0,000000;-2,750000E-6;5,999999
0,000000;-4,125000E-6;6,199998
0,000000;-9,626000E-6;6,399998
0,000000;-9,626000E-6;6,599998
0,000000;-5,500000E-6;6,799998
0,000000;-2,750000E-6;6,999998
0,000000;-8,251000E-6;7,199997
0,000000;-4,125000E-6;7,399997
0,000000;-4,125000E-6;7,599997
0,000000;-9,626000E-6;7,799997
0,000000;-4,125000E-6;7,999997
0,000000;-4,125000E-6;8,199997
0,000000;-9,626000E-6;8,399997
0,000000;-9,626000E-6;8,599997
0,000000;-2,750000E-6;8,799996
0,000000;-5,500000E-6;8,999996
0,000000;-4,125000E-6;9,199996
0,000000;-6,875000E-6;9,399996
0,000000;-2,750000E-6;9,599996
0,000000;-2,750000E-6;9,799995
0,000000;-4,125000E-6;9,999995
0,000000;-4,125000E-6;10,200000
0,000000;-4,125000E-6;10,399990
1,000000;-4,125000E-6;0,200000
1,000000;-5,500000E-6;0,400000
1,000000;-1,100100E-5;0,600000
1,000000;-1,100100E-5;0,800000
1,000000;-4,125000E-6;1,000000
1,000000;-8,251000E-6;1,200000
1,000000;-5,500000E-6;1,400000
1,000000;-2,750000E-6;1,600000
1,000000;-1,100100E-5;1,800000
1,000000;-8,251000E-6;2,000000
1,000000;-2,750000E-6;2,200000
1,000000;-5,500000E-6;2,400000
1,000000;-6,875000E-6;2,600000
1,000000;-8,251000E-6;2,800000
1,000000;-6,875000E-6;3,000000
1,000000;-1,100100E-5;3,200001
1,000000;-5,500000E-6;3,400001
1,000000;-4,125000E-6;3,600001
1,000000;-9,626000E-6;3,800001
1,000000;-6,875000E-6;4,000000
1,000000;-5,500000E-6;4,200000
1,000000;-4,125000E-6;4,400000
1,000000;-9,626000E-6;4,600000
1,000000;-6,875000E-6;4,800000
1,000000;-9,626000E-6;5,000000
1,000000;-1,100100E-5;5,199999
1,000000;-5,500000E-6;5,399999
1,000000;-6,875000E-6;5,599999
1,000000;-9,626000E-6;5,799999
1,000000;-1,100100E-5;5,999999
1,000000;-4,125000E-6;6,199998
1,000000;-9,626000E-6;6,399998
1,000000;-8,251000E-6;6,599998
1,000000;-1,100100E-5;6,799998
1,000000;-2,750000E-6;6,999998
1,000000;-9,626000E-6;7,199997
1,000000;-1,100100E-5;7,399997
1,000000;-4,125000E-6;7,599997
1,000000;-4,125000E-6;7,799997
1,000000;-6,875000E-6;7,999997
1,000000;-1,100100E-5;8,199997
1,000000;-6,875000E-6;8,399997
1,000000;-1,100100E-5;8,599997
1,000000;-8,251000E-6;8,799996
1,000000;-4,125000E-6;8,999996
1,000000;-5,500000E-6;9,199996
1,000000;-9,626000E-6;9,399996
1,000000;-1,100100E-5;9,599996
1,000000;-8,251000E-6;9,799995
1,000000;-9,626000E-6;9,999995
1,000000;-5,500000E-6;10,200000
1,000000;-5,500000E-6;10,399990
2,000000;2,337600E-5;0,200000
2,000000;1,100100E-5;0,400000
2,000000;1,237600E-5;0,600000
2,000000;1,512600E-5;0,800000
2,000000;1,512600E-5;1,000000
2,000000;1,375100E-5;1,200000
2,000000;1,925100E-5;1,400000
2,000000;1,925100E-5;1,600000
2,000000;1,925100E-5;1,800000
2,000000;1,925100E-5;2,000000
2,000000;2,200100E-5;2,200000
2,000000;1,787600E-5;2,400000
2,000000;2,062600E-5;2,600000
2,000000;1,787600E-5;2,800000
2,000000;1,375100E-5;3,000000
2,000000;1,650100E-5;3,200001
2,000000;2,062600E-5;3,400001
2,000000;2,062600E-5;3,600001
2,000000;2,200100E-5;3,800001
2,000000;2,062600E-5;4,000000
2,000000;2,062600E-5;4,200000
2,000000;2,200100E-5;4,400000
2,000000;2,062600E-5;4,600000
2,000000;1,925100E-5;4,800000
2,000000;1,787600E-5;5,000000
2,000000;1,650100E-5;5,199999
2,000000;1,650100E-5;5,399999
2,000000;1,925100E-5;5,599999
2,000000;2,200100E-5;5,799999
2,000000;2,337600E-5;5,999999
2,000000;2,200100E-5;6,199998
2,000000;2,062600E-5;6,399998
2,000000;1,787600E-5;6,599998
2,000000;2,337600E-5;6,799998
2,000000;2,337600E-5;6,999998
2,000000;2,062600E-5;7,199997
2,000000;2,337600E-5;7,399997
2,000000;2,200100E-5;7,599997
2,000000;1,925100E-5;7,799997
2,000000;1,925100E-5;7,999997
2,000000;1,925100E-5;8,199997
2,000000;1,925100E-5;8,399997
2,000000;2,475200E-5;8,599997
2,000000;2,337600E-5;8,799996
2,000000;2,612700E-5;8,999996
2,000000;2,475200E-5;9,199996
2,000000;2,200100E-5;9,399996
2,000000;2,200100E-5;9,599996
2,000000;2,062600E-5;9,799995
2,000000;2,200100E-5;9,999995
2,000000;2,062600E-5;10,200000
2,000000;2,337600E-5;10,399990
3,000000;0,000567;0,200000
3,000000;0,000261;0,400000
3,000000;0,000382;0,600000
3,000000;0,000425;0,800000
3,000000;0,000439;1,000000
3,000000;0,000447;1,200000
3,000000;0,000459;1,400000
3,000000;0,000463;1,600000
3,000000;0,000469;1,800000
3,000000;0,000470;2,000000
3,000000;0,000470;2,200000
3,000000;0,000473;2,400000
3,000000;0,000479;2,600000
3,000000;0,000481;2,800000
3,000000;0,000484;3,000000
3,000000;0,000487;3,200001
3,000000;0,000490;3,400001
3,000000;0,000492;3,600001
3,000000;0,000494;3,800001
3,000000;0,000496;4,000000
3,000000;0,000495;4,200000
3,000000;0,000496;4,400000
3,000000;0,000498;4,600000
3,000000;0,000503;4,800000
3,000000;0,000501;5,000000
3,000000;0,000501;5,199999
3,000000;0,000507;5,399999
3,000000;0,000510;5,599999
3,000000;0,000507;5,799999
3,000000;0,000507;5,999999
3,000000;0,000513;6,199998
3,000000;0,000516;6,399998
3,000000;0,000516;6,599998
3,000000;0,000518;6,799998
3,000000;0,000518;6,999998
3,000000;0,000518;7,199997
3,000000;0,000518;7,399997
3,000000;0,000520;7,599997
3,000000;0,000527;7,799997
3,000000;0,000531;7,999997
3,000000;0,000532;8,199997
3,000000;0,000532;8,399997
3,000000;0,000534;8,599997
3,000000;0,000535;8,799996
3,000000;0,000535;8,999996
3,000000;0,000536;9,199996
3,000000;0,000539;9,399996
3,000000;0,000542;9,599996
3,000000;0,000545;9,799995
3,000000;0,000553;9,999995
3,000000;0,000557;10,200000
3,000000;0,000557;10,399990
4,000000;0,000668;0,400000
4,000000;0,001173;0,600000
4,000000;0,001504;0,800000
4,000000;0,001690;1,000000
4,000000;0,001794;1,200000
4,000000;0,001847;1,400000
4,000000;0,001878;1,600000
4,000000;0,001902;1,800000
4,000000;0,001922;2,000000
4,000000;0,001935;2,200000
4,000000;0,001948;2,400000
4,000000;0,001962;2,600000
4,000000;0,001973;2,800000
4,000000;0,001980;3,000000
4,000000;0,001987;3,200001
4,000000;0,001999;3,400001
4,000000;0,002006;3,600001
4,000000;0,002014;3,800001
4,000000;0,002023;4,000000
4,000000;0,002030;4,200000
4,000000;0,002038;4,400000
4,000000;0,002043;4,600000
4,000000;0,002050;4,800000
4,000000;0,002056;5,000000
4,000000;0,002063;5,199999
4,000000;0,002064;5,399999
4,000000;0,002067;5,599999
4,000000;0,002079;5,799999
4,000000;0,002085;5,999999
4,000000;0,002090;6,199998
4,000000;0,002096;6,399998
4,000000;0,002096;6,599998
4,000000;0,002105;6,799998
4,000000;0,002107;6,999998
4,000000;0,002112;7,199997
4,000000;0,002122;7,399997
4,000000;0,002126;7,599997
4,000000;0,002133;7,799997
4,000000;0,002138;7,999997
4,000000;0,002140;8,199997
4,000000;0,002142;8,399997
4,000000;0,002158;8,599997
4,000000;0,002162;8,799996
4,000000;0,002173;8,999996
4,000000;0,002180;9,199996
4,000000;0,002188;9,399996
4,000000;0,002196;9,599996
4,000000;0,002204;9,799995
4,000000;0,002215;9,999995
4,000000;0,002224;10,200000
4,000000;0,002236;10,399990
5,000000;0,001053;0,400000
5,000000;0,001950;0,600000
5,000000;0,002680;0,800000
5,000000;0,003241;1,000000
5,000000;0,003652;1,200000
5,000000;0,003934;1,400000
