	0,150421	-1,098300E-5
	0,050455	-1,235600E-5
	0,050468	-1,235600E-5
	0,100462	-1,098300E-5
	0,150413	-1,235600E-5
	0,200376	-1,235600E-5
	0,250301	-1,235600E-5
	0,300317	-5,079500E-5
	0,350204	-9,610000E-6
	0,400220	-1,372800E-5
	0,450125	-1,235600E-5
	0,500151	-1,235600E-5
	0,550103	-1,235600E-5
	0,600082	-1,098300E-5
	0,650403	-1,372800E-5
	0,700406	-1,235600E-5
	0,750470	-9,610000E-6
	0,800473	-1,372800E-5
	0,850394	-4,667700E-5
	0,900407	-1,372800E-5
	0,950369	-9,610000E-6
	1,000252	-1,098300E-5
	1,050271	-1,235600E-5
	1,100244	-1,235600E-5
	1,150286	-1,372800E-5
	1,200181	-1,098300E-5
	1,250200	-1,510100E-5
	1,300159	-1,098300E-5
	1,350159	-1,098300E-5
	1,399970	-1,235600E-5
	1,449876	-1,098300E-5
	1,499612	-1,098300E-5
	1,548751	1,373000E-6
	1,596156	1,922000E-5
	1,639689	6,864200E-5
	1,676157	0,000177
	1,704940	0,000340
	1,727470	0,000557
	1,745890	0,000806
	1,761159	0,001082
	1,774401	0,001365
	1,786103	0,001665
	1,796685	0,001978
	1,806359	0,002291
	1,815313	0,002615
	1,823679	0,002942
	1,831594	0,003271
	1,839114	0,003602
	1,846284	0,003940
	1,853144	0,004275
	1,859773	0,004618
	1,866190	0,004957
	1,872430	0,005301
	1,878498	0,005648
	1,884430	0,005988
	1,890205	0,006340
	1,895857	0,006684
	1,901390	0,007036
	1,906825	0,007383
	1,912167	0,007735
	1,917425	0,008083
	1,922598	0,008437
	1,927284	0,008746
	1,932458	0,009118
	1,937460	0,009470
	1,942394	0,009827
	1,947280	0,010175
	1,952113	0,010528
	1,956884	0,010885
	1,961570	0,011234
	1,967559	0,011668
	1,972534	0,012060
	1,977259	0,012426
	1,981953	0,012785
	1,986586	0,013155
	1,991177	0,013511
	1,995735	0,013877
	2,000263	0,014234
	2,004768	0,014599
	2,009248	0,014964
	2,013665	0,015325
	2,018116	0,015690
	2,022525	0,016050
	2,026904	0,016415
	2,031254	0,016775
	2,035589	0,017143
	2,039913	0,017500
	2,044254	0,017873
	2,048550	0,018234
	2,052837	0,018598
	2,057099	0,018964
	2,061346	0,019328
	2,065571	0,019695
	2,069792	0,020053
	2,074005	0,020421
	2,078240	0,020786
	2,082451	0,021146
	2,086658	0,021515
	2,090839	0,021875
	2,094990	0,022247
	2,099100	0,022602
