U;I
0,010465;-1,098300E-5
0,020373;-1,235600E-5
0,030340;-1,235600E-5
0,040346;-8,237000E-6
0,050373;-1,098300E-5
0,060338;-1,235600E-5
0,070378;-8,237000E-6
0,080353;-1,235600E-5
0,090385;-1,235600E-5
0,100396;-1,098300E-5
0,110381;-1,235600E-5
0,120316;-1,235600E-5
0,130326;-9,610000E-6
0,140351;-1,098300E-5
0,150384;-8,237000E-6
0,160357;-1,098300E-5
0,170367;-1,372800E-5
0,180370;-9,610000E-6
0,190387;-9,610000E-6
0,200364;-1,098300E-5
0,210392;-9,610000E-6
0,220283;-1,235600E-5
0,230292;-9,610000E-6
0,240311;-1,098300E-5
0,250298;-8,237000E-6
0,260309;-1,372800E-5
0,270321;-9,610000E-6
0,280295;-8,237000E-6
0,290356;-9,610000E-6
0,300328;-1,235600E-5
0,310354;-1,098300E-5
0,320201;-1,235600E-5
0,330185;-8,237000E-6
0,340241;-1,098300E-5
0,350216;-1,235600E-5
0,360225;-8,237000E-6
0,370255;-1,372800E-5
0,380214;-8,237000E-6
0,390284;-1,235600E-5
0,400252;-1,235600E-5
0,410147;-9,610000E-6
0,420170;-1,098300E-5
0,430161;-1,235600E-5
0,440172;-9,610000E-6
0,450187;-1,098300E-5
0,460188;-8,237000E-6
0,470207;-9,610000E-6
0,480180;-9,610000E-6
0,490208;-1,372800E-5
0,500204;-8,237000E-6
0,510171;-1,235600E-5
0,520140;-1,098300E-5
0,530163;-9,610000E-6
0,540183;-1,235600E-5
0,550207;-9,610000E-6
0,560200;-1,098300E-5
0,570178;-8,237000E-6
0,580191;-1,098300E-5
0,590225;-1,235600E-5
0,600194;-1,235600E-5
0,610125;-1,235600E-5
0,620089;-1,235600E-5
0,630111;-9,610000E-6
0,640137;-1,098300E-5
0,650114;-9,610000E-6
0,660148;-8,237000E-6
0,670133;-1,235600E-5
0,680136;-9,610000E-6
0,690161;-1,235600E-5
0,700173;-8,237000E-6
0,710182;-1,098300E-5
0,720167;-1,098300E-5
0,730196;-8,237000E-6
0,739824;-1,098300E-5
0,749796;-6,864000E-6
0,759821;-1,098300E-5
0,769800;-1,098300E-5
0,779811;-8,237000E-6
0,789823;-1,235600E-5
0,799801;-8,237000E-6
0,809673;-9,610000E-6
0,819696;-9,610000E-6
0,829698;-8,237000E-6
0,839715;-1,098300E-5
0,849677;-9,610000E-6
0,859683;-8,237000E-6
0,869672;-1,098300E-5
0,879693;-9,610000E-6
0,889644;-8,237000E-6
0,899655;-5,491000E-6
0,909576;-8,237000E-6
0,919573;-1,098300E-5
0,929563;-6,864000E-6
0,939524;-1,098300E-5
0,949530;-5,491000E-6
0,959526;-9,610000E-6
0,969474;-6,864000E-6
0,979499;-1,098300E-5
0,989456;-5,491000E-6
0,999454;-9,610000E-6
1,009310;-5,491000E-6
1,019245;-9,610000E-6
1,029283;-8,237000E-6
1,039224;-4,119000E-6
1,049181;-5,491000E-6
1,059158;-5,491000E-6
1,069094;-6,864000E-6
1,079112;-2,746000E-6
1,089037;-5,491000E-6
1,098954;-4,119000E-6
1,108921;-4,119000E-6
1,118834;-2,746000E-6
1,128793;-5,491000E-6
1,138750;0,000000
1,148678;-4,119000E-6
1,158641;0,000000
1,168529;1,373000E-6
1,178471;0,000000
1,188393;1,373000E-6
1,198205;1,373000E-6
1,208073;2,746000E-6
1,217998;1,373000E-6
1,227909;6,864000E-6
1,237812;2,746000E-6
1,247685;6,864000E-6
1,257549;5,491000E-6
1,267423;1,098300E-5
1,277323;6,864000E-6
1,287134;1,235600E-5
1,296977;1,098300E-5
1,306792;1,647400E-5
1,316655;1,372800E-5
1,326488;1,922000E-5
1,336286;1,647400E-5
1,346136;2,059300E-5
1,355910;1,922000E-5
1,365708;1,922000E-5
1,375514;2,608400E-5
1,385242;2,471100E-5
1,394930;3,020200E-5
1,404646;2,883000E-5
1,414412;3,020200E-5
1,424153;3,432100E-5
1,433839;3,844000E-5
1,443533;3,844000E-5
1,453234;3,981200E-5
1,462918;4,667700E-5
1,472591;4,804900E-5
1,482207;4,942200E-5
1,491872;5,491400E-5
1,501474;5,628600E-5
1,511086;6,040500E-5
1,520645;6,177800E-5
1,530226;6,864200E-5
1,539769;6,726900E-5
1,549307;7,687900E-5
1,558820;7,687900E-5
1,568271;8,099800E-5
1,577757;8,786200E-5
1,587103;9,198000E-5
1,595164;9,609900E-5
1,605944;0,000100
1,615288;0,000106
1,624663;0,000110
1,633985;0,000118
1,643272;0,000121
1,652592;0,000129
1,661831;0,000136
1,671005;0,000141
1,680226;0,000147
1,689366;0,000152
1,698565;0,000162
1,707654;0,000172
1,716750;0,000173
1,725818;0,000181
1,734821;0,000192
1,743829;0,000200
1,752792;0,000209
1,761626;0,000213
1,770550;0,000227
1,779389;0,000231
1,788243;0,000246
1,797050;0,000250
1,805810;0,000265
1,814494;0,000272
1,823201;0,000284
1,831877;0,000292
1,840506;0,000308
1,848934;0,000316
1,857462;0,000331
1,865970;0,000343
1,874436;0,000356
1,882835;0,000365
1,891218;0,000376
1,899520;0,000393
1,907840;0,000409
1,916102;0,000420
1,924305;0,000435
1,932405;0,000452
1,940519;0,000463
1,948605;0,000482
1,956656;0,000497
1,964636;0,000511
1,972628;0,000530
1,980492;0,000545
1,988368;0,000567
1,996196;0,000578
2,003938;0,000600
2,011616;0,000616
2,019293;0,000637
2,026934;0,000659
2,034527;0,000673
2,042040;0,000699
2,049530;0,000715
2,056980;0,000736
2,064392;0,000755
2,071709;0,000781
2,079032;0,000799
2,086197;0,000824
2,093422;0,000844
2,100591;0,000868
2,107417;0,000891
2,114494;0,000916
2,121511;0,000936
2,128458;0,000961
2,135431;0,000990
2,142289;0,001010
2,149133;0,001039
2,155935;0,001063
2,162664;0,001091
2,169380;0,001116
2,176009;0,001144
2,182614;0,001171
2,189176;0,001198
2,195660;0,001229
2,202162;0,001255
2,208557;0,001285
2,214856;0,001312
2,221196;0,001343
2,227458;0,001374
2,233704;0,001404
2,239892;0,001432
2,246039;0,001465
2,252137;0,001496
2,258176;0,001527
2,264210;0,001561
2,270187;0,001591
2,276088;0,001628
2,281961;0,001658
2,287810;0,001695
2,293625;0,001724
2,299398;0,001763
2,305124;0,001794
2,310802;0,001830
2,316440;0,001867
2,322061;0,001899
2,327599;0,001936
2,333074;0,001971
2,338535;0,002010
2,343996;0,002046
2,349403;0,002083
2,354746;0,002121
2,360085;0,002154
2,365354;0,002195
2,370611;0,002232
2,375826;0,002273
2,380971;0,002310
2,386086;0,002350
2,391156;0,002390
2,396208;0,002431
2,401241;0,002468
2,406211;0,002512
2,411164;0,002551
2,416091;0,002593
2,420970;0,002633
2,425820;0,002674
2,430615;0,002720
2,435340;0,002757
2,440072;0,002802
2,444810;0,002842
2,449486;0,002887
2,426626;0,002931
2,458325;0,002967
2,462992;0,003013
2,467570;0,003056
2,472103;0,003104
2,476602;0,003144
2,481054;0,003193
2,485477;0,003234
2,489910;0,003282
2,494267;0,003325
2,498619;0,003373
2,502924;0,003421
2,507198;0,003465
2,511469;0,003509
2,515684;0,003558
2,519827;0,003604
2,524003;0,003653
2,528135;0,003696
2,532286;0,003746
2,536380;0,003792
2,540455;0,003843
2,544499;0,003891
2,548512;0,003933
2,552490;0,003985
2,556453;0,004033
2,560394;0,004081
2,564313;0,004134
2,568192;0,004180
2,572065;0,004232
2,575911;0,004278
2,579720;0,004329
2,583498;0,004381
2,587261;0,004430
2,591029;0,004482
2,594751;0,004534
2,598397;0,004581
2,602045;0,004635
2,605700;0,004686
2,609331;0,004738
2,612920;0,004784
2,616521;0,004839
2,620060;0,004890
2,623595;0,004944
2,627107;0,004997
2,630583;0,005045
2,634040;0,005101
2,637482;0,005151
2,640917;0,005209
2,644338;0,005259
2,647714;0,005314
2,651114;0,005366
2,654475;0,005421
2,657830;0,005475
2,661147;0,005527
2,664461;0,005583
2,667714;0,005633
2,670989;0,005690
2,674236;0,005741
2,677463;0,005799
2,680655;0,005852
2,683848;0,005907
2,687006;0,005964
2,690163;0,006019
2,693279;0,006075
2,696389;0,006128
2,699417;0,006185
2,702487;0,006237
2,705527;0,006297
2,708533;0,006349
2,711538;0,006408
2,714551;0,006462
2,717538;0,006522
2,720531;0,006576
2,723479;0,006638
2,726422;0,006690
2,729309;0,006748
2,732212;0,006805
2,735120;0,006861
2,738018;0,006920
2,740884;0,006975
2,743745;0,007039
2,746574;0,007089
2,749394;0,007152
2,752192;0,007207
2,754974;0,007268
2,757743;0,007325
2,760493;0,007386
2,763232;0,007442
2,765872;0,007501
2,768588;0,007555
2,771299;0,007618
2,773992;0,007677
2,776677;0,007735
2,779349;0,007792
2,781982;0,007854
2,784633;0,007913
2,787246;0,007968
2,789875;0,008031
2,792493;0,008090
2,795101;0,008148
2,797668;0,008208
2,800227;0,008270
2,802805;0,008330
2,805359;0,008388
2,807887;0,008450
2,810379;0,008506
2,812883;0,008571
2,815377;0,008628
2,817837;0,008694
2,820300;0,008749
2,822745;0,008816
2,825189;0,008875
2,827616;0,008936
2,830057;0,008996
2,832451;0,009058
2,834860;0,009118
2,837239;0,009176
2,839619;0,009245
2,841969;0,009298
2,844325;0,009366
2,846665;0,009425
2,849011;0,009489
2,851347;0,009548
2,853652;0,009611
2,855955;0,009676
2,858265;0,009733
2,860564;0,009799
2,862846;0,009858
2,865109;0,009919
2,867378;0,009986
2,869655;0,010044
2,871910;0,010112
2,874129;0,010171
2,876359;0,010237
2,878547;0,010295
2,880742;0,010362
2,882929;0,010420
2,885108;0,010484
2,887291;0,010548
2,889441;0,010608
2,891580;0,010677
2,893716;0,010737
2,895850;0,010804
2,897980;0,010865
2,900063;0,010925
2,902146;0,010994
2,904204;0,011055
2,906265;0,011121
2,908326;0,011183
2,910379;0,011250
2,912416;0,011312
2,914466;0,011381
2,916473;0,011439
2,918491;0,011507
2,920521;0,011573
2,922534;0,011632
2,924534;0,011699
2,926532;0,011760
2,928525;0,011830
2,930511;0,011892
2,932468;0,011956
2,934429;0,012025
2,936377;0,012086
2,938310;0,012152
2,940235;0,012216
2,942157;0,012277
2,944069;0,012349
2,945977;0,012410
2,947886;0,012478
2,949811;0,012541
2,951743;0,012610
2,953658;0,012671
2,955559;0,012740
2,957464;0,012799
2,959358;0,012868
2,961251;0,012931
2,963137;0,012999
2,965026;0,013063
2,966940;0,013126
2,968822;0,013196
2,970667;0,013258
2,972491;0,013328
2,974281;0,013393
2,976061;0,013457
2,977822;0,013527
2,979576;0,013590
2,981350;0,013654
2,983140;0,013724
2,984904;0,013790
2,986668;0,013856
2,988437;0,013922
2,990174;0,013992
2,991898;0,014057
2,993606;0,014125
2,995320;0,014188
2,997028;0,014258
2,998731;0,014320
3,000411;0,014393
3,002090;0,014455
3,003770;0,014526
3,005453;0,014591
3,007066;0,014656
3,008754;0,014724
3,010413;0,014792
3,012105;0,014862
3,013784;0,014923
3,015408;0,014993
3,017046;0,015060
3,018665;0,015129
3,020287;0,015196
3,021909;0,015262
3,023564;0,015332
3,025273;0,015401
3,026982;0,015466
3,028093;0,015530
3,029956;0,015584
3,031623;0,015652
3,033278;0,015726
3,034863;0,015793
3,036409;0,015860
3,037954;0,015930
3,039518;0,015998
3,041075;0,016066
3,042707;0,016139
3,044302;0,016204
3,045818;0,016274
3,047382;0,016345
3,048928;0,016415
3,050436;0,016478
3,051961;0,016552
3,053464;0,016620
3,054969;0,016686
3,056450;0,016758
3,057938;0,016823
3,059495;0,016897
3,061032;0,016961
3,062525;0,017029
3,064014;0,017100
3,065501;0,017169
3,066997;0,017237
3,068467;0,017303
3,069936;0,017377
3,071380;0,017443
3,072817;0,017512
3,074278;0,017579
3,075752;0,017653
3,077217;0,017718
3,078623;0,017785
3,080073;0,017854
3,081521;0,017924
3,082957;0,017998
3,084430;0,018062
3,085879;0,018132
3,087336;0,018200
3,088784;0,018270
3,090251;0,018337
3,091706;0,018404
3,093132;0,018476
3,094529;0,018544
3,095957;0,018614
3,097355;0,018683
3,098736;0,018750
3,100136;0,018822
3,101539;0,018894
3,102929;0,018960
3,104332;0,019029
3,105713;0,019103
3,107024;0,019169
3,108352;0,019242
3,109693;0,019310
3,111065;0,019380
3,112452;0,019452
3,113790;0,019515
3,115167;0,019588
3,116504;0,019656
3,117821;0,019728
3,119109;0,019800
3,120369;0,019866
3,121630;0,019941
3,122927;0,020011
3,124218;0,020078
3,125476;0,020149
3,126761;0,020218
3,128039;0,020292
3,129315;0,020361
3,130579;0,020429
3,131922;0,020501
3,133257;0,020572
3,134579;0,020642
3,135873;0,020708
3,137130;0,020782
3,138370;0,020851
3,139654;0,020922
3,140941;0,020992
3,142232;0,021066
3,143499;0,021132
3,144754;0,021204
3,145975;0,021274
3,147196;0,021344
3,148423;0,021419
3,149619;0,021486
3,150803;0,021558
3,152002;0,021628
3,153178;0,021696
3,154370;0,021772
3,155562;0,021841
3,156762;0,021915
3,157930;0,021987
3,159086;0,022052
3,160262;0,022129
3,161462;0,022197
3,162671;0,022267
3,163853;0,022340
3,165074;0,022409
3,166309;0,022479
3,167475;0,022552
3,168640;0,022626
3,169842;0,022694
3,171046;0,022766
3,172248;0,022837
3,173437;0,022904
3,174566;0,022980
3,173970;0,022942
3,175332;0,023024
3,176564;0,023109
3,177753;0,023178
3,178916;0,023252
3,180096;0,023320
3,181243;0,023395
3,182331;0,023470
3,183439;0,023539
3,184547;0,023614
3,185662;0,023682
3,186837;0,023756
3,188014;0,023833
3,189130;0,023903
3,190225;0,023978
3,191272;0,024045
3,192388;0,024122
3,193466;0,024191
3,194596;0,024264
3,195773;0,024339
3,196925;0,024404
3,198020;0,024479
3,199141;0,024549
3,200280;0,024623
3,201417;0,024696
3,202463;0,024762
3,203506;0,024839
3,204575;0,024909
3,205647;0,024980
3,040819;0,025057
3,208188;0,025148
3,209282;0,025218
3,210336;0,025293
3,211408;0,025365
3,212430;0,025436
3,213458;0,025513
3,214486;0,025584
3,215522;0,025660
3,216553;0,025733
3,217590;0,025800
3,218637;0,025874
3,219669;0,025947
3,220710;0,026022
3,221750;0,026095
3,222793;0,026168
3,223905;0,026242
3,224964;0,026310
3,225999;0,026383
3,226994;0,026456
3,227926;0,026532
3,228865;0,026602
3,229853;0,026677
3,230851;0,026748
3,231880;0,026820
3,232933;0,026897
3,234016;0,026967
3,235108;0,027037
3,236125;0,027108
3,237129;0,027186
3,238105;0,027252
3,239069;0,027331
3,240060;0,027399
3,240985;0,027473
3,241960;0,027549
3,242965;0,027620
3,243984;0,027697
3,245081;0,027767
3,246168;0,027840
3,247235;0,027910
3,248258;0,027984
3,249163;0,028054
3,250044;0,028130
3,250922;0,028205
3,251810;0,028283
3,252676;0,028362
3,253556;0,028432
3,254482;0,028510
3,255489;0,028580
3,256446;0,028651
3,257371;0,028727
3,258558;0,028813
3,259542;0,028891
3,260515;0,028966
3,261464;0,029033
3,262380;0,029111
3,263315;0,029184
3,264183;0,029258
3,265060;0,029327
3,265926;0,029397
3,266855;0,029480
3,267784;0,029550
3,268684;0,029627
3,269595;0,029699
3,270508;0,029776
3,271495;0,029848
3,272440;0,029922
3,273356;0,029992
3,274236;0,030065
3,275117;0,030142
3,276086;0,030215
3,277023;0,030285
3,277952;0,030359
3,278912;0,030437
3,279887;0,030502
3,280852;0,030580
3,281806;0,030651
3,282700;0,030724
3,283545;0,030801
3,284377;0,030871
3,285180;0,030947
3,286101;0,031019
3,287011;0,031096
3,287892;0,031168
3,288756;0,031244
3,289566;0,031313
3,290419;0,031391
3,291303;0,031466
3,292176;0,031540
3,293025;0,031611
3,293855;0,031685
3,294706;0,031761
3,295577;0,031833
3,296441;0,031910
3,297285;0,031984
3,298122;0,032057
3,298954;0,032131
3,299768;0,032201
3,300583;0,032277
3,301384;0,032355
3,302182;0,032424
3,303002;0,032502
3,303813;0,032576
3,304616;0,032652
3,305429;0,032722
3,306250;0,032800
3,307103;0,032870
3,307988;0,032944
3,308865;0,033022
3,309701;0,033092
3,310589;0,033171
3,311360;0,033239
3,312184;0,033312
3,312978;0,033393
3,313774;0,033464
3,314600;0,033540
3,315413;0,033610
3,316251;0,033684
3,317127;0,033762
3,318078;0,033832
3,319255;0,033908
3,320231;0,033976
3,321097;0,034053
3,321823;0,034127
3,322567;0,034197
3,323283;0,034280
3,323981;0,034351
3,324732;0,034427
3,325520;0,034502
3,326280;0,034579
3,327059;0,034652
3,327818;0,034726
3,328585;0,034802
3,329338;0,034880
3,330046;0,034958
3,330805;0,035032
3,331598;0,035104
3,332328;0,035180
3,333003;0,035255
3,333749;0,035331
3,334543;0,035407
3,335309;0,035480
3,336067;0,035557
3,336869;0,035625
3,337592;0,035691
3,189078;0,035688
3,338539;0,035775
3,339381;0,035854
3,340224;0,035933
3,341067;0,036012
3,342057;0,036093
3,342967;0,036180
3,343767;0,036254
3,344501;0,036327
3,345331;0,036408
3,346063;0,036478
3,346673;0,036556
3,347345;0,036627
3,348154;0,036711
3,348867;0,036784
3,349511;0,036861
3,350279;0,036935
3,350963;0,037005
3,351694;0,037089
3,352405;0,037164
3,353108;0,037240
3,353797;0,037314
3,354472;0,037389
3,355163;0,037470
3,355870;0,037542
3,356585;0,037617
3,357252;0,037694
3,357938;0,037765
3,358689;0,037846
3,359484;0,037919
3,360213;0,037995
3,361016;0,038066
3,361688;0,038142
3,362302;0,038219
3,362935;0,038300
3,363606;0,038372
3,364302;0,038452
3,365011;0,038525
3,365752;0,038595
3,366497;0,038676
3,367197;0,038748
3,367884;0,038824
3,368607;0,038899
3,369419;0,038971
3,370170;0,039050
3,370873;0,039123
3,371520;0,039199
3,372177;0,039277
3,372889;0,039348
3,373615;0,039427
3,374371;0,039497
3,375022;0,039571
3,375666;0,039649
3,376346;0,039725
3,377039;0,039803
3,377721;0,039874
3,378405;0,039954
3,379111;0,040027
3,379856;0,040099
3,380550;0,040176
3,381250;0,040254
3,381853;0,040329
3,382405;0,040403
3,383004;0,040482
3,383657;0,040558
3,384323;0,040633
3,384990;0,040709
3,385722;0,040780
3,386451;0,040857
3,387082;0,040933
3,387674;0,041009
3,388289;0,041089
3,388874;0,041159
3,389410;0,041239
3,390084;0,041312
3,390780;0,041388
3,391470;0,041467
3,392175;0,041528
3,392875;0,041609
3,393531;0,041684
3,394212;0,041763
3,394912;0,041837
3,395538;0,041909
3,396235;0,041988
3,397032;0,042062
3,397751;0,042135
3,398437;0,042212
3,399062;0,042290
3,399674;0,042367
3,400307;0,042443
3,400899;0,042517
3,401442;0,042590
3,402052;0,042668
3,402776;0,042742
3,403564;0,042820
3,404328;0,042893
3,405051;0,042971
3,405671;0,043047
3,406202;0,043120
3,406840;0,043207
3,407479;0,043288
3,408082;0,043365
3,408491;0,043426
3,409037;0,043505
3,409609;0,043588
3,410197;0,043663
3,410860;0,043741
3,411450;0,043821
3,412077;0,043894
3,412703;0,043990
3,413209;0,044065
3,413785;0,044145
3,414350;0,044226
3,414898;0,044297
3,415417;0,044378
3,415945;0,044453
3,416444;0,044534
3,416951;0,044606
3,417505;0,044686
3,418118;0,044759
3,418820;0,044836
3,419449;0,044904
3,420070;0,044987
3,420695;0,045065
3,421297;0,045139
3,421861;0,045217
3,422432;0,045296
3,423012;0,045366
