U;I
2,346521;1,235600E-5
2,356550;1,235600E-5
2,366487;1,510100E-5
2,376348;1,510100E-5
2,386346;1,510100E-5
2,396282;1,372800E-5
2,406266;1,647400E-5
2,416246;1,510100E-5
2,426220;1,647400E-5
2,436195;1,647400E-5
2,446140;1,372800E-5
2,456131;2,059300E-5
2,466108;1,510100E-5
2,476019;1,784700E-5
2,485947;1,372800E-5
2,495945;1,784700E-5
2,505924;1,647400E-5
2,515897;1,922000E-5
2,525856;1,647400E-5
2,535802;2,059300E-5
2,545785;1,922000E-5
2,555771;2,196500E-5
2,565702;1,784700E-5
2,575593;2,196500E-5
2,585533;2,059300E-5
2,595528;2,333800E-5
2,605493;2,196500E-5
2,615434;1,922000E-5
2,625434;2,059300E-5
2,635372;2,059300E-5
2,645343;2,333800E-5
2,655332;2,471100E-5
2,665255;2,196500E-5
2,675194;2,608400E-5
2,685127;2,196500E-5
2,695108;2,608400E-5
2,705091;2,333800E-5
2,715019;2,471100E-5
2,724983;2,471100E-5
2,734947;2,745700E-5
2,744939;2,608400E-5
2,754895;2,745700E-5
2,764833;2,745700E-5
2,774685;2,745700E-5
2,784644;2,883000E-5
2,794633;3,020200E-5
2,804552;2,745700E-5
2,814531;2,745700E-5
2,824493;3,294800E-5
2,834461;2,883000E-5
2,844414;3,020200E-5
2,854344;3,157500E-5
2,864319;3,020200E-5
2,874216;3,294800E-5
2,884133;3,157500E-5
2,894135;3,432100E-5
2,904075;3,294800E-5
2,914049;3,432100E-5
2,923995;3,432100E-5
2,933930;3,157500E-5
2,943938;3,569400E-5
2,953855;3,432100E-5
2,963694;3,569400E-5
2,973662;3,294800E-5
2,983590;3,844000E-5
2,993588;3,432100E-5
3,003496;3,844000E-5
3,013452;3,569400E-5
3,023421;3,569400E-5
3,033348;4,118500E-5
3,043283;3,844000E-5
3,053257;4,118500E-5
3,063209;3,294800E-5
3,073174;4,118500E-5
3,083094;3,981200E-5
3,093061;4,393100E-5
3,103005;4,118500E-5
3,112968;4,530400E-5
3,122853;4,667700E-5
3,132808;4,530400E-5
3,142785;4,393100E-5
3,152711;4,667700E-5
3,162530;4,255800E-5
3,172438;4,804900E-5
3,182393;4,942200E-5
3,192364;4,667700E-5
3,202262;4,804900E-5
3,212232;4,667700E-5
3,222116;4,804900E-5
3,232080;4,942200E-5
3,242039;4,942200E-5
3,251939;4,804900E-5
3,261838;5,216800E-5
3,271741;5,079500E-5
3,281700;5,491400E-5
3,291641;5,079500E-5
3,301531;5,491400E-5
3,311489;5,628600E-5
3,321372;5,628600E-5
3,331317;5,354100E-5
3,341249;5,765900E-5
3,351136;6,040500E-5
3,360949;5,628600E-5
3,370879;5,903200E-5
3,380837;5,903200E-5
3,390385;5,765900E-5
3,400286;6,315100E-5
3,410187;6,040500E-5
3,420114;6,177800E-5
3,430047;6,177800E-5
3,439969;6,040500E-5
3,449844;6,452400E-5
3,459616;6,726900E-5
3,469519;6,315100E-5
3,479461;6,452400E-5
3,489319;7,001500E-5
3,499267;6,589600E-5
3,509163;7,001500E-5
3,519107;6,864200E-5
3,529003;7,001500E-5
3,538903;7,001500E-5
3,548832;7,001500E-5
3,558614;7,413300E-5
3,568466;7,276100E-5
3,578438;7,413300E-5
3,588286;7,550600E-5
3,598210;7,962500E-5
3,608101;7,550600E-5
3,617961;7,825200E-5
3,627900;7,825200E-5
3,637755;8,237000E-5
3,647571;8,099800E-5
3,657488;7,962500E-5
3,667339;8,511600E-5
3,677292;8,374300E-5
3,687137;8,648900E-5
3,697015;8,511600E-5
3,706907;8,923500E-5
3,716759;8,648900E-5
3,726658;8,923500E-5
3,736544;9,198000E-5
3,746300;8,923500E-5
3,756183;9,198000E-5
3,766048;9,060700E-5
3,775933;9,609900E-5
3,785781;9,747200E-5
3,795651;9,884500E-5
3,805459;9,747200E-5
3,815340;0,000100
3,825213;0,000102
3,835087;0,000100
3,844965;0,000104
3,854790;0,000102
3,864646;0,000104
3,874516;0,000107
3,884354;0,000110
3,894240;0,000108
3,904029;0,000110
3,913885;0,000114
3,923735;0,000114
3,933544;0,000113
3,943313;0,000117
3,953108;0,000118
3,962947;0,000115
3,972798;0,000124
3,982599;0,000121
3,992458;0,000126
4,002243;0,000124
4,012071;0,000128
4,021877;0,000128
4,031653;0,000132
4,041398;0,000133
4,051220;0,000135
4,061064;0,000135
4,070867;0,000133
4,080642;0,000140
4,090420;0,000136
4,100208;0,000141
4,110057;0,000141
4,119799;0,000147
4,129614;0,000148
4,139281;0,000147
4,149072;0,000151
4,158846;0,000148
4,168595;0,000154
4,178368;0,000154
4,188128;0,000157
4,197864;0,000159
4,207683;0,000161
4,217410;0,000162
4,227204;0,000163
4,236962;0,000169
4,246699;0,000170
4,256455;0,000172
4,266186;0,000173
4,275909;0,000176
4,285690;0,000177
4,295398;0,000184
4,305183;0,000183
4,314845;0,000187
4,324451;0,000187
4,334188;0,000188
4,343891;0,000191
4,353594;0,000195
4,363299;0,000196
4,372998;0,000202
4,382685;0,000200
4,392319;0,000205
4,402067;0,000206
4,411763;0,000209
4,421394;0,000211
4,431044;0,000216
4,440730;0,000217
4,450427;0,000221
4,460079;0,000222
4,469744;0,000222
4,479349;0,000228
4,489008;0,000231
4,498648;0,000238
4,508263;0,000239
4,517825;0,000240
4,527423;0,000246
4,537047;0,000248
4,546679;0,000253
4,556279;0,000251
4,565920;0,000255
4,575489;0,000261
4,585113;0,000262
4,594685;0,000270
4,604274;0,000269
4,613919;0,000272
4,623491;0,000275
4,633076;0,000283
4,642625;0,000281
4,652153;0,000288
4,661688;0,000292
4,671281;0,000295
4,680850;0,000299
4,690374;0,000305
4,699864;0,000306
4,709298;0,000313
4,718838;0,000316
4,728402;0,000317
4,737849;0,000324
4,747369;0,000325
4,756863;0,000331
4,766284;0,000331
4,775825;0,000340
4,784904;0,000342
4,794398;0,000350
4,803798;0,000350
4,813211;0,000354
4,822717;0,000362
4,832119;0,000367
4,841617;0,000369
4,851003;0,000371
4,860399;0,000380
4,869844;0,000383
4,879255;0,000386
4,888518;0,000395
4,897915;0,000398
4,907275;0,000402
4,916769;0,000410
4,926052;0,000415
4,935444;0,000420
4,944776;0,000424
4,954127;0,000430
4,963398;0,000434
4,972794;0,000441
4,981934;0,000443
4,991280;0,000452
5,000553;0,000456
5,009879;0,000460
5,019140;0,000470
5,028463;0,000471
5,037635;0,000482
5,046931;0,000486
5,056195;0,000490
5,065430;0,000501
5,074672;0,000502
5,083843;0,000512
5,093125;0,000518
5,102303;0,000523
5,111481;0,000533
5,120647;0,000535
5,129728;0,000545
5,138905;0,000552
5,148069;0,000557
5,157211;0,000567
5,166302;0,000571
5,175387;0,000577
5,184428;0,000586
5,193536;0,000592
5,202575;0,000604
5,211677;0,000607
5,220773;0,000615
5,229803;0,000623
5,238877;0,000632
5,247871;0,000641
5,256820;0,000645
5,265797;0,000658
5,274794;0,000663
5,283705;0,000670
5,292671;0,000682
5,301580;0,000689
5,310530;0,000696
5,319609;0,000707
5,328496;0,000714
5,337371;0,000721
5,346286;0,000733
5,355090;0,000741
5,363971;0,000755
5,372868;0,000762
5,381616;0,000769
5,390535;0,000778
5,399267;0,000791
5,408200;0,000800
5,416958;0,000809
5,425770;0,000821
5,434389;0,000826
5,443063;0,000840
5,451769;0,000850
5,460389;0,000861
5,469138;0,000873
5,477760;0,000880
5,486288;0,000896
5,495008;0,000905
5,503643;0,000918
5,512171;0,000927
5,520730;0,000942
5,529320;0,000949
5,537808;0,000960
5,546434;0,000972
5,554972;0,000987
5,563385;0,000998
5,571987;0,001012
5,580507;0,001024
5,588952;0,001034
5,597282;0,001049
5,605640;0,001061
5,614066;0,001075
5,622399;0,001086
5,630804;0,001100
5,639071;0,001116
5,517568;0,001126
5,655609;0,001141
5,664091;0,001156
5,672307;0,001167
5,680419;0,001182
5,688631;0,001198
5,696879;0,001211
5,705038;0,001223
5,713163;0,001238
5,721281;0,001253
5,729379;0,001273
5,737513;0,001285
5,745664;0,001300
5,753590;0,001321
5,761569;0,001332
5,769506;0,001352
5,777631;0,001367
5,785660;0,001381
5,793612;0,001400
5,801430;0,001415
5,809454;0,001435
5,817201;0,001446
5,822586;0,001469
5,832880;0,001487
5,840637;0,001498
5,848490;0,001521
5,856199;0,001540
5,864104;0,001557
5,871786;0,001573
5,879446;0,001591
5,887091;0,001614
5,894799;0,001630
5,902396;0,001650
5,910042;0,001667
5,917524;0,001691
5,925188;0,001708
5,930611;0,001726
5,940091;0,001748
5,947626;0,001771
5,955127;0,001792
5,962594;0,001811
5,969920;0,001834
5,977266;0,001851
5,984671;0,001874
5,992014;0,001896
5,999370;0,001916
6,006709;0,001938
6,013830;0,001965
6,020993;0,001982
6,028093;0,002007
6,035473;0,002026
6,042577;0,002051
6,049615;0,002078
6,056473;0,002100
6,063415;0,002121
6,070424;0,002146
6,077399;0,002169
6,084516;0,002195
6,091523;0,002221
6,098342;0,002246
6,105207;0,002269
6,112041;0,002294
6,119071;0,002319
6,125712;0,002343
6,132446;0,002372
6,139171;0,002400
6,145837;0,002424
6,152473;0,002452
6,159059;0,002481
6,165512;0,002507
6,172205;0,002537
6,178824;0,002560
6,185347;0,002591
6,191761;0,002622
6,198293;0,002643
6,204863;0,002674
6,211038;0,002703
6,217489;0,002735
6,223801;0,002759
6,230097;0,002795
6,236400;0,002821
6,242858;0,002853
6,248898;0,002884
6,254899;0,002916
6,260954;0,002946
6,266814;0,002978
6,272628;0,003013
6,277816;0,003049
6,282635;0,003096
6,287396;0,003134
6,292073;0,003182
6,296979;0,003219
6,301924;0,003263
6,306806;0,003304
6,311836;0,003346
6,316774;0,003387
6,321677;0,003425
6,326626;0,003466
6,331479;0,003503
6,336431;0,003550
6,341247;0,003590
6,346037;0,003628
6,350861;0,003671
6,355600;0,003716
6,360510;0,003757
6,365316;0,003795
6,370114;0,003841
6,374821;0,003881
6,379418;0,003929
6,383990;0,003968
6,388550;0,004016
6,393097;0,004055
6,397758;0,004099
6,402523;0,004145
6,407059;0,004186
6,411542;0,004231
6,416018;0,004275
6,420378;0,004319
6,424907;0,004367
6,429349;0,004411
6,433573;0,004459
6,437994;0,004503
6,442437;0,004545
6,446638;0,004592
6,450881;0,004639
6,455179;0,004687
6,459374;0,004732
6,463726;0,004777
6,467789;0,004828
6,472006;0,004872
6,476037;0,004920
6,480191;0,004972
6,483998;0,005016
6,487622;0,005067
6,491180;0,005121
6,494730;0,005174
6,498298;0,005225
6,502010;0,005273
6,505546;0,005328
6,509231;0,005379
6,512880;0,005425
6,516615;0,005480
6,520128;0,005534
6,523903;0,005582
6,527439;0,005633
6,530979;0,005684
6,534601;0,005734
6,538165;0,005795
6,541718;0,005841
6,545310;0,005892
6,548752;0,005946
6,552260;0,006001
6,555636;0,006053
6,559059;0,006105
6,562674;0,006154
6,565887;0,006212
6,569261;0,006267
6,572618;0,006319
6,576095;0,006367
6,579443;0,006422
6,582771;0,006483
6,586244;0,006529
6,589609;0,006584
6,592702;0,006638
6,595968;0,006697
6,599186;0,006750
6,602441;0,006802
6,605638;0,006859
6,608798;0,006914
6,611939;0,006970
6,615153;0,007025
6,618136;0,007081
6,621119;0,007137
6,623927;0,007192
6,626858;0,007254
6,629690;0,007308
6,632481;0,007367
6,635149;0,007424
6,637845;0,007485
6,640573;0,007544
6,643379;0,007600
6,646131;0,007662
6,648866;0,007715
6,651656;0,007774
6,654352;0,007838
6,657082;0,007894
6,659752;0,007954
6,662453;0,008013
6,665026;0,008071
6,667699;0,008130
6,670327;0,008190
6,672819;0,008245
6,675486;0,008310
6,678075;0,008369
6,680634;0,008432
6,683256;0,008488
6,685734;0,008553
6,688301;0,008606
