U;I
0,285210;0,023150
0,285403;0,023230
0,285597;0,023308
0,285788;0,023382
0,285981;0,023462
0,286173;0,023541
0,286365;0,023624
0,286556;0,023703
0,286747;0,023779
0,286937;0,023860
0,287127;0,023937
0,287316;0,024015
0,287502;0,024096
0,287688;0,024173
0,287871;0,024254
0,288054;0,024332
0,288235;0,024410
0,288416;0,024493
0,288595;0,024570
0,288774;0,024651
0,288952;0,024728
0,289129;0,024807
0,289308;0,024884
0,289226;0,024964
0,289564;0,025001
0,289757;0,025086
0,289934;0,025168
0,290113;0,025247
0,290292;0,025328
0,290468;0,025404
0,290644;0,025487
0,290824;0,025562
0,291003;0,025647
0,291177;0,025726
0,291347;0,025804
0,291515;0,025889
0,291685;0,025965
0,291855;0,026044
0,292026;0,026124
0,292197;0,026203
0,292366;0,026284
0,292533;0,026360
0,292701;0,026441
0,292868;0,026518
0,293037;0,026597
0,293207;0,026681
0,293373;0,026755
0,293540;0,026836
0,293706;0,026915
0,293871;0,026993
0,294033;0,027078
0,294198;0,027149
0,294365;0,027232
0,294529;0,027311
0,294693;0,027391
0,294855;0,027473
0,295015;0,027546
0,295176;0,027628
0,295337;0,027708
0,295494;0,027784
0,295652;0,027867
0,295811;0,027943
0,295968;0,028020
0,296127;0,028106
0,296290;0,028180
0,296450;0,028263
0,296609;0,028340
0,296768;0,028419
0,296926;0,028502
0,297083;0,028578
0,297239;0,028658
0,297394;0,028739
0,297552;0,028817
0,297707;0,028893
0,297862;0,028975
0,298015;0,029052
0,298167;0,029134
0,298317;0,029211
0,298465;0,029292
0,298612;0,029369
0,298760;0,029450
0,298908;0,029528
0,299054;0,029608
0,299199;0,029686
0,299345;0,029767
0,299489;0,029846
0,299629;0,029925
0,299776;0,030001
0,299920;0,030083
0,300065;0,030164
0,300209;0,030241
0,300354;0,030321
0,300500;0,030402
0,300646;0,030476
0,300793;0,030559
0,300939;0,030635
0,301084;0,030720
0,301228;0,030798
0,301372;0,030872
0,301514;0,030953
0,301659;0,031033
0,301803;0,031114
0,301944;0,031195
0,302084;0,031273
0,302224;0,031352
0,302364;0,031430
0,302505;0,031508
0,302645;0,031588
0,302787;0,031670
0,302927;0,031744
0,303065;0,031829
0,303203;0,031905
0,303338;0,031987
0,303474;0,032064
0,303610;0,032146
0,303747;0,032222
0,303888;0,032304
0,304029;0,032389
0,304166;0,032465
0,304304;0,032547
0,304441;0,032621
0,304580;0,032705
0,304715;0,032783
0,304850;0,032866
0,304986;0,032945
0,305118;0,033018
0,305251;0,033101
0,305383;0,033184
0,305515;0,033260
0,305649;0,033342
0,305781;0,033419
0,305913;0,033501
0,306045;0,033578
0,306176;0,033659
0,306305;0,033740
0,306436;0,033816
0,306566;0,033897
0,306695;0,033978
0,306822;0,034059
0,306951;0,034133
0,307079;0,034215
0,307209;0,034294
0,307337;0,034376
0,307466;0,034456
0,307594;0,034528
0,307721;0,034613
0,307848;0,034692
0,307974;0,034773
0,308101;0,034851
0,308226;0,034932
0,308350;0,035013
0,308475;0,035088
0,308597;0,035172
0,308722;0,035248
0,308846;0,035330
0,308969;0,035411
0,309092;0,035489
0,309216;0,035565
0,309339;0,035649
0,309463;0,035725
0,309587;0,035806
0,309711;0,035883
0,309837;0,035966
0,309962;0,036045
0,310087;0,036122
0,310212;0,036206
0,310334;0,036280
0,310458;0,036362
0,310581;0,036443
0,310703;0,036520
0,310829;0,036601
0,310952;0,036678
0,311074;0,036759
0,311195;0,036843
0,311315;0,036916
0,311435;0,037001
0,311555;0,037076
0,311672;0,037157
0,311789;0,037240
0,311906;0,037315
0,312024;0,037398
0,312135;0,037472
0,312253;0,037553
0,312370;0,037635
0,312486;0,037709
0,312604;0,037792
0,312722;0,037868
0,312838;0,037948
0,312956;0,038030
0,313075;0,038107
0,313192;0,038191
0,313310;0,038271
0,313426;0,038345
0,313538;0,038429
0,313654;0,038507
0,313774;0,038588
0,313891;0,038669
0,314006;0,038744
0,314120;0,038825
0,314234;0,038904
0,314348;0,038987
0,314463;0,039064
0,314577;0,039144
0,314690;0,039221
0,314802;0,039302
0,314914;0,039387
0,315026;0,039461
0,315138;0,039545
0,315250;0,039620
0,315363;0,039704
0,315477;0,039784
0,315589;0,039858
0,315701;0,039943
0,315811;0,040020
0,315922;0,040102
0,316034;0,040182
0,316131;0,040257
0,316246;0,040334
0,316359;0,040415
0,316472;0,040497
0,316584;0,040576
0,316693;0,040657
0,316801;0,040736
0,316908;0,040819
0,317017;0,040894
0,317127;0,040981
0,317236;0,041058
0,317344;0,041140
0,317451;0,041218
0,317560;0,041295
0,317667;0,041382
0,317776;0,041457
0,317885;0,041542
0,317995;0,041616
0,318104;0,041703
0,318212;0,041776
0,318320;0,041859
0,318428;0,041939
0,318536;0,042019
0,318643;0,042101
0,318749;0,042176
0,318857;0,042256
0,318962;0,042338
0,319066;0,042418
0,319173;0,042496
0,319280;0,042580
0,319382;0,042656
0,319486;0,042739
0,319589;0,042816
0,319693;0,042894
0,319798;0,042978
0,319901;0,043058
0,320004;0,043135
0,320107;0,043220
0,320210;0,043295
0,320311;0,043379
0,320412;0,043459
0,320514;0,043534
0,320616;0,043619
0,320718;0,043696
0,320821;0,043780
0,320922;0,043857
0,321021;0,043935
0,321120;0,044019
0,321221;0,044097
0,321321;0,044178
0,321419;0,044259
0,321519;0,044335
0,321619;0,044418
0,321721;0,044492
0,321822;0,044578
0,321920;0,044654
0,322018;0,044738
0,322117;0,044819
0,322214;0,044892
0,322310;0,044978
0,322404;0,045051
0,322495;0,045132
0,322602;0,045213
0,322699;0,045293
0,322797;0,045375
0,322895;0,045457
0,322994;0,045534
0,323093;0,045614
0,323189;0,045699
0,323286;0,045776
0,323383;0,045860
0,323479;0,045939
0,323577;0,046016
0,323680;0,046099
0,323783;0,046177
0,323884;0,046255
0,323988;0,046337
0,324088;0,046416
0,324188;0,046498
0,324286;0,046579
0,324382;0,046656
0,324479;0,046738
0,324576;0,046819
0,324672;0,046893
0,324770;0,046977
0,324866;0,047057
0,324961;0,047138
0,325057;0,047219
0,325153;0,047294
0,325249;0,047378
0,325346;0,047455
0,325444;0,047536
0,325542;0,047618
0,325638;0,047695
0,325735;0,047776
0,325833;0,047857
0,325927;0,047938
0,326022;0,048022
0,326115;0,048097
0,326209;0,048180
0,326303;0,048257
0,326396;0,048336
0,326490;0,048421
0,326581;0,048497
0,326671;0,048579
0,326763;0,048658
0,326854;0,048737
0,326945;0,048822
0,327034;0,048896
0,327124;0,048980
0,327213;0,049058
0,327305;0,049135
0,327395;0,049220
0,327485;0,049296
0,327576;0,049381
0,327665;0,049459
0,327755;0,049538
0,327846;0,049620
0,327937;0,049700
0,328026;0,049779
0,328114;0,049862
0,328202;0,049938
0,328291;0,050021
0,328382;0,050103
0,328179;0,050180
0,328444;0,050157
0,328536;0,050239
0,328625;0,050321
0,328715;0,050405
0,328802;0,050481
0,328889;0,050566
0,328976;0,050645
0,329063;0,050726
0,329149;0,050807
0,329235;0,050884
0,329320;0,050965
0,329407;0,051041
0,329493;0,051126
0,329579;0,051204
0,329663;0,051284
0,329748;0,051370
0,329833;0,051443
0,329917;0,051524
0,330002;0,051604
0,330088;0,051686
0,330175;0,051768
0,330260;0,051844
0,330345;0,051928
0,330433;0,052005
0,330522;0,052083
0,330612;0,052168
0,330703;0,052243
0,330793;0,052324
0,330882;0,052405
0,330972;0,052485
0,331060;0,052562
0,331174;0,052668
0,331261;0,052743
0,331353;0,052832
0,331437;0,052909
0,331532;0,052996
0,331619;0,053077
0,331704;0,053161
0,331788;0,053242
0,331874;0,053317
0,331961;0,053401
0,332049;0,053480
0,332138;0,053560
0,332226;0,053645
0,332316;0,053721
0,332405;0,053803
0,332493;0,053883
0,332581;0,053959
0,332667;0,054042
0,332752;0,054120
0,332838;0,054198
0,332924;0,054285
0,333008;0,054360
0,333091;0,054444
0,333175;0,054522
0,333258;0,054603
0,333341;0,054682
0,333423;0,054764
0,333504;0,054842
0,333585;0,054920
0,333668;0,055004
0,333751;0,055082
0,333835;0,055163
0,333919;0,055242
0,334002;0,055321
0,334085;0,055406
0,334167;0,055482
0,334250;0,055566
0,334332;0,055647
0,334414;0,055725
0,334496;0,055803
0,334579;0,055887
0,334628;0,055968
0,334701;0,056004
0,334785;0,056090
0,334868;0,056173
0,334949;0,056254
0,335030;0,056335
0,335111;0,056414
0,335192;0,056499
0,335274;0,056575
0,334949;0,056660
0,335148;0,056453
0,335277;0,056583
0,335368;0,056676
0,335454;0,056761
0,335542;0,056845
0,335628;0,056930
0,335716;0,057010
0,335803;0,057096
0,335886;0,057175
0,335967;0,057254
0,336052;0,057341
0,336135;0,057422
0,336217;0,057504
0,336299;0,057585
0,336381;0,057662
0,336462;0,057749
0,336543;0,057827
0,336624;0,057909
0,336707;0,057989
0,336787;0,058070
0,336866;0,058151
